source,target,length_m,bandwidth_capacity,travel_time_seconds,width_m
81804024,6658453755,216.38231701060428,1199.9999999999998,19.474408530954385,10.0
81804024,12584288413,2.933176315456598,1199.9999999999998,0.2639858683910938,10.0
81804025,103061231,186.3006287791309,905.1428571428572,16.767056590121783,6.6
81804025,1314209697,10.143399901712938,768.0000000000001,0.9129059911541644,6.4
81804025,1497544849,10.45197659961863,384.00000000000006,0.9406778939656768,3.2
81804025,5703585010,109.8304569537882,905.1428571428572,9.884741125840938,6.6
81804025,11124244869,60.676074152608685,1199.9999999999998,5.460846673734782,10.0
81804688,6659134172,24.342092346782135,1748.5714285714284,2.1907883112103925,10.2
81804688,6688976457,33.22664193921514,1165.7142857142858,2.990397774529363,6.8
81804688,11951245603,125.28673994952597,462.8571428571428,11.275806595457336,6.0
81804993,1904416715,99.48197952743084,462.8571428571428,8.953378157468777,6.0
81804993,6688497757,6.595935695104219,1810.2857142857144,0.5936342125593798,13.2
81804993,13238456257,8.043640091264203,1810.2857142857144,0.7239276082137783,13.2
81804994,5710309836,48.71600505164498,1810.2857142857144,4.384440454648048,13.2
81804994,8277275924,247.40120066321143,462.8571428571428,22.266108059689028,6.0
81804994,10292908432,2.901181849032682,1810.2857142857144,0.2611063664129414,13.2
81805393,1758633098,97.34090298432808,2331.428571428572,8.760681268589526,13.6
81805393,1884765798,57.06991648786128,658.2857142857143,5.136292483907515,6.4
81805393,11950483412,14.781613106897831,1748.5714285714284,1.3303451796208048,10.2
81806532,1497544750,73.52192405174338,905.1428571428572,6.616973164656905,6.6
81806532,6406219817,32.64560822994041,462.8571428571428,2.938104740694637,6.0
81806535,1497544749,31.64178215809411,329.1428571428572,2.84776039422847,3.2
81806535,5707161151,40.01881630700316,452.57142857142856,3.6016934676302843,3.3
81806535,5707161153,36.50234283987599,905.1428571428572,3.2852108555888395,6.6
81806990,102994902,69.12291329922242,2331.428571428572,6.221062196930018,13.6
81806990,102995903,81.57379746705531,1199.9999999999998,7.341641772034978,10.0
81806990,317809942,56.25855756292688,1748.5714285714284,5.06327018066342,10.2
81806990,10964875589,17.334094880996293,1810.2857142857144,1.5600685392896665,13.2
81807148,102995088,82.02905338290277,1748.5714285714284,7.38261480446125,10.2
81807148,317809937,115.07009875330196,822.8571428571428,10.356308887797177,8.0
81807148,317809942,63.01892018315575,1748.5714285714284,5.671702816484018,10.2
84819711,11774805948,23.162601074651068,462.8571428571428,2.084634096718596,6.0
84819711,11774805967,20.50144544960532,768.0000000000001,1.845130090464479,6.4
84819711,11813606347,25.08866722780073,768.0000000000001,2.257980050502066,6.4
84828833,5698021466,39.53353828036602,1748.5714285714284,3.5580184452329418,10.2
84828834,1884807186,194.6897441843531,1748.5714285714284,17.52207697659178,10.2
84828834,2294400839,98.22974358193794,1748.5714285714284,8.840676922374415,10.2
84832232,436170718,228.04061010936775,2331.428571428572,20.5236549098431,13.6
84832232,8340858386,62.54222117712498,2331.428571428572,5.628799905941248,13.6
84832232,8407730170,21.65260254764851,462.8571428571428,1.948734229288366,6.0
84837729,436176905,21.12635338002292,658.2857142857143,1.9013718042020629,6.4
84837729,1757004288,26.51128876791305,2331.428571428572,2.386015989112175,13.6
84837729,6632024394,27.254582572853145,2331.428571428572,2.452912431556783,13.6
84841359,436176907,26.86210909233369,1980.0,2.417589818310032,10.5
92383657,12059530003,15.896481242229877,905.1428571428572,1.430683311800689,6.6
92383660,438039400,17.644725313445672,822.8571428571428,1.5880252782101103,8.0
98009342,103000208,108.2877367513962,822.8571428571428,9.745896307625658,8.0
98009585,102997194,99.9351604350433,822.8571428571428,8.994164439153897,8.0
98009586,102997577,86.24906552481596,822.8571428571428,7.762415897233437,8.0
98009586,8130248887,85.59117128054814,822.8571428571428,7.703205415249332,8.0
98010927,12185873028,29.468593581878103,905.1428571428572,2.6521734223690294,6.6
98010932,98010933,137.87777363433733,822.8571428571428,12.40899962709036,8.0
98011110,102995086,146.9081729493585,1199.9999999999998,13.221735565442264,10.0
98011280,7168561625,40.32617733620076,768.0000000000001,3.629355960258069,6.4
98011280,8830820032,97.4676553316911,1199.9999999999998,8.7720889798522,10.0
98014772,102999142,64.08784853403797,822.8571428571428,5.767906368063418,8.0
98014772,317968685,52.60453352619373,1357.7142857142856,4.7344080173574365,9.9
98014773,103001090,70.17375180760675,768.0000000000001,6.315637662684607,6.4
98014773,103001091,67.77019658067012,1199.9999999999998,6.099317692260311,10.0
98014773,103006224,205.4946637620664,905.1428571428572,18.49451973858598,6.6
98014779,98022531,69.10125522529273,822.8571428571428,6.219112970276346,8.0
98015693,98015696,119.49082160048998,905.1428571428572,10.754173944044098,6.6
98022239,98022242,52.56343566381023,768.0000000000001,4.73070920974292,6.4
98022242,98022244,58.77935379085315,768.0000000000001,5.290141841176784,6.4
98022244,10254802712,61.375769371618645,462.8571428571428,5.523819243445678,6.0
98022250,8265789526,7.298898710550609,905.1428571428572,0.6569008839495548,6.6
98022529,98022531,71.53340105190256,822.8571428571428,6.438006094671231,8.0
98022529,9766564051,96.66538791724332,822.8571428571428,8.6998849125519,8.0
98023545,98023784,59.3937869215502,822.8571428571428,5.345440822939518,8.0
98023547,11197872515,29.240834015001617,822.8571428571428,2.631675061350146,8.0
98023784,11397624121,226.2044683908738,462.8571428571428,20.358402155178645,6.0
98024920,6405865432,46.13121369505493,462.8571428571428,4.151809232554944,6.0
98024920,6685052834,17.55638140703186,905.1428571428572,1.5800743266328676,6.6
98024920,6685052836,16.663334031103307,1357.7142857142856,1.4997000627992978,9.9
