path_idx,request_id,start_time,travel_time,num_nodes,num_edges,time_per_edge
125,130,0,386.2534656606791,102,101,3.82
126,131,0,173.8418147320129,58,57,3.05
127,132,0,429.85296326875687,89,88,4.88
128,133,0,384.5245521068573,52,51,7.54
129,134,0,534.3410898117639,101,100,5.34
130,135,0,292.05712292586287,71,70,4.17
131,136,0,363.2781294214382,64,63,5.77
132,137,0,486.7057552289186,65,64,7.60
133,138,0,1225.811664659202,165,164,7.47
134,139,0,413.0364591916726,92,91,4.54
135,140,0,358.0045995116234,58,57,6.28
136,142,0,267.5911500232516,57,56,4.78
137,143,0,719.6465095406825,118,117,6.15
138,144,0,921.7555918297284,143,142,6.49
139,145,0,371.52575354823756,74,73,5.09
140,146,0,806.3775522643091,158,157,5.14
141,147,0,327.55399870087996,35,34,9.63
142,148,0,469.65528937574607,77,76,6.18
143,149,0,719.3160184348409,134,133,5.41
144,150,0,463.66270587355973,78,77,6.02
145,151,0,106.72532170309606,19,18,5.93
146,152,0,500.93315373932467,104,103,4.86
147,153,0,827.7953981495585,109,108,7.66
148,154,0,869.67171320443,138,137,6.35
149,155,0,903.3894100888917,159,158,5.72
150,156,0,184.5501925945282,32,31,5.95
151,157,0,209.53885666324678,70,69,3.04
152,158,0,194.68115856113016,44,43,4.53
153,159,0,267.18438440339764,39,38,7.03
154,160,0,820.7938825918175,138,137,5.99
155,161,0,1147.9637121002113,161,160,7.17
156,162,0,903.4903881679412,128,127,7.11
157,163,0,170.42651861906052,26,25,6.82
158,164,0,345.4432605926966,71,70,4.93
159,165,0,273.20163332101015,60,59,4.63
160,166,0,504.33767980337143,77,76,6.64
161,167,0,334.78335824903166,65,64,5.23
162,168,0,408.95600736141205,87,86,4.76
163,169,0,794.2120993310707,163,162,4.90
164,170,0,380.93595897101926,66,65,5.86
165,171,0,228.82709995116767,52,51,4.49
166,172,0,629.4188370586393,92,91,6.92
167,173,0,503.6536883939702,102,101,4.99
168,174,0,976.9761916577271,130,129,7.57
169,175,0,614.5891819869056,99,98,6.27
170,176,0,517.0305537581444,70,69,7.49
171,177,0,558.2649816148097,92,91,6.13
172,178,0,738.8372630688071,83,82,9.01
173,179,0,541.175553258052,127,126,4.30
174,180,0,947.6418361787862,144,143,6.63
175,181,0,823.3054557255967,69,68,12.11
176,182,0,487.2433647375869,65,64,7.61
177,183,0,987.0197373989852,176,175,5.64
178,184,0,150.01855101873696,18,17,8.82
179,185,0,747.4405028011564,123,122,6.13
180,186,0,722.4753573039031,123,122,5.92
181,187,0,787.1105573180442,135,134,5.87
182,188,0,373.50784124761327,85,84,4.45
183,189,0,387.6117027218849,58,57,6.80
184,190,0,495.7163231835589,83,82,6.05
185,191,0,403.8071125149727,68,67,6.03
186,192,0,655.821800455451,118,117,5.61
187,193,0,275.1934948483299,54,53,5.19
188,194,0,521.5964501688185,118,117,4.46
189,195,0,676.3939011711194,133,132,5.12
190,196,0,675.1546139753812,155,154,4.38
191,197,0,645.3155646184588,72,71,9.09
192,198,0,789.3804981600501,172,171,4.62
193,199,0,198.99330607936326,44,43,4.63
194,200,0,693.7015754229258,110,109,6.36
195,201,0,233.88453778105085,46,45,5.20
196,202,0,565.8075719929166,118,117,4.84
197,203,0,544.0376885738309,86,85,6.40
198,204,0,395.93078143918626,78,77,5.14
199,205,0,595.1168782246018,78,77,7.73
200,206,0,603.7132219969316,130,129,4.68
201,207,0,608.3336225450314,145,144,4.22
202,208,0,332.79387099023353,56,55,6.05
203,209,0,673.1541815025146,141,140,4.81
204,210,0,592.8387943336284,88,87,6.81
205,211,0,257.08895993232727,47,46,5.59
206,212,0,266.0921999514103,56,55,4.84
207,213,0,867.9148467732606,158,157,5.53
208,214,0,1081.7836954390489,118,117,9.25
209,215,0,192.24731392200596,45,44,4.37
210,216,0,449.5238883495331,86,85,5.29
211,217,0,529.825628429565,88,87,6.09
212,218,0,496.3628065918118,88,87,5.71
213,219,0,769.5810473205748,138,137,5.62
214,220,0,154.8178366177913,39,38,4.07
215,221,0,736.9330878673154,140,139,5.30
216,222,0,694.5165747828623,110,109,6.37
217,223,0,543.6062438592804,109,108,5.03
218,224,0,512.291124848383,84,83,6.17
219,225,0,594.8292545230281,107,106,5.61
220,226,0,365.776594132185,48,47,7.78
221,227,0,481.1667989574865,69,68,7.08
222,228,0,558.4753900616989,120,119,4.69
223,229,0,964.173294084426,182,181,5.33
224,230,0,280.97319593930933,60,59,4.76
225,231,0,258.7636691056276,67,66,3.92
226,232,0,774.2118782565959,153,152,5.09
227,233,0,313.94519445491596,69,68,4.62
228,234,0,606.9401208635741,134,133,4.56
229,235,0,723.3378405267979,130,129,5.61
230,236,0,668.541854861391,106,105,6.37
231,237,0,839.0308392122388,120,119,7.05
232,240,0,623.7155068112293,129,128,4.87
233,241,0,1051.2079695847606,161,160,6.57
234,242,0,669.4966639744086,126,125,5.36
235,243,0,541.8710804879665,113,112,4.84
236,244,0,923.9624173648313,155,154,6.00
237,245,0,216.0625500380993,48,47,4.60
238,246,0,226.604137301445,41,40,5.67
239,247,0,119.18773537874222,29,28,4.26
240,248,0,301.0951887715713,75,74,4.07
241,249,0,183.79924541095787,42,41,4.48
242,250,0,400.72628712750696,79,78,5.14
243,251,0,260.01004205475596,60,59,4.41
244,253,0,213.55360049009323,44,43,4.97
245,254,0,212.37780020157155,68,67,3.17
246,255,0,390.65849512815475,66,65,6.01
247,256,0,810.4737096470858,85,84,9.65
248,257,0,457.8151816317444,96,95,4.82
249,258,0,581.1045925590965,109,108,5.38
250,259,0,864.5107589235231,126,125,6.92
251,260,0,761.0464019729635,133,132,5.77
252,261,0,428.85783322269555,74,73,5.87
253,262,0,787.2859212483942,131,130,6.06
254,263,0,426.8619660800142,115,114,3.74
255,264,0,448.1863756424149,113,112,4.00
256,265,0,619.3108891279359,76,75,8.26
257,266,0,525.5225829360065,105,104,5.05
258,267,0,484.066317781806,111,110,4.40
259,268,0,522.8020727171879,97,96,5.45
260,270,0,321.20647083313827,37,36,8.92
261,271,0,208.20931873593935,31,30,6.94
262,272,0,490.6303214983891,91,90,5.45
263,273,0,572.0479979157088,95,94,6.09
264,274,0,339.57426255933956,76,75,4.53
265,275,0,1047.091067215933,188,187,5.60
266,276,0,688.9355386918412,107,106,6.50
267,277,0,162.50408792495728,41,40,4.06
268,278,0,599.3370676430721,140,139,4.31
269,279,0,765.5874942207037,149,148,5.17
270,280,0,518.6674306131441,100,99,5.24
271,281,0,289.8390446379781,112,111,2.61
272,283,0,771.0351231040324,105,104,7.41
273,284,0,331.12926884198595,66,65,5.09
274,285,0,505.70820273926927,117,116,4.36
275,286,0,881.532387488205,94,93,9.48
276,288,0,624.5733386564717,121,120,5.20
277,289,0,532.2089555214197,92,91,5.85
278,290,0,786.4677958895924,137,136,5.78
279,291,0,291.42341110110283,56,55,5.30
280,292,0,673.8788051076285,144,143,4.71
281,293,0,644.606409549265,96,95,6.79
282,294,0,454.7863738168675,86,85,5.35
283,295,0,870.6952493042057,154,153,5.69
284,296,0,490.7228792309761,94,93,5.28
285,297,0,671.2548983917916,96,95,7.07
286,298,0,94.96854293346405,23,22,4.32
287,299,0,302.0889135403712,65,64,4.72
288,300,0,501.98241322202915,86,85,5.91
289,301,0,603.4136883544834,139,138,4.37
290,302,0,738.7345854341984,124,123,6.01
291,303,0,485.6150883449405,85,84,5.78
292,304,0,64.31290167570114,17,16,4.02
293,305,0,538.099537058622,83,82,6.56
294,306,0,541.6007477800828,86,85,6.37
295,307,0,612.4940500762114,103,102,6.00
296,308,0,693.2769695862985,78,77,9.00
297,309,0,518.0372401222915,88,87,5.95
298,310,0,447.18849757706994,77,76,5.88
299,311,0,746.9608663409799,130,129,5.79
300,312,0,471.9950697966958,66,65,7.26
301,313,0,428.66647335179925,63,62,6.91
302,314,0,615.5499428290541,96,95,6.48
303,316,0,648.3295726327299,104,103,6.29
304,317,0,782.323877738614,131,130,6.02
305,318,0,538.8770250976086,154,153,3.52
306,319,0,440.12615398797277,93,92,4.78
307,321,0,233.68567004799843,54,53,4.41
308,322,0,483.24642551983726,117,116,4.17
309,323,0,429.0969093177936,88,87,4.93
310,324,0,256.3917208253978,44,43,5.96
311,325,0,263.4677881349987,63,62,4.25
312,326,0,614.8968513272594,104,103,5.97
313,327,0,323.50220292806625,61,60,5.39
314,328,0,709.827677624381,107,106,6.70
315,329,0,304.24181259750634,61,60,5.07
316,330,0,207.58981208503246,35,34,6.11
317,331,0,948.9590418506698,165,164,5.79
318,332,0,329.8648753849859,96,95,3.47
319,333,0,74.14022668039269,21,20,3.71
320,334,0,482.0855590053013,93,92,5.24
321,335,0,385.3199988876943,32,31,12.43
322,336,0,534.7106813465554,103,102,5.24
323,337,0,904.5107956184057,162,161,5.62
324,338,0,226.359959546102,35,34,6.66
325,339,0,105.93241995573044,26,25,4.24
326,340,0,322.45118815127756,68,67,4.81
327,341,0,242.9734609723091,67,66,3.68
328,342,0,176.74831869715786,41,40,4.42
329,343,0,424.7927520842483,102,101,4.21
330,344,0,942.1144516067025,142,141,6.68
331,345,0,348.04772195066965,117,116,3.00
332,346,0,430.52988408523856,63,62,6.94
333,347,0,840.6475646953144,123,122,6.89
334,348,0,998.6396831174889,158,157,6.36
335,349,0,190.1601358652115,30,29,6.56
