node_id,lon,lat,degree
436170718,105.8415156,21.0071533,3
436170722,105.8412431,21.0041897,4
436171607,105.8409232,20.9837736,3
436176901,105.8408217,20.9769732,3
436176902,105.8407886,20.9722154,3
436176904,105.8412464,20.9702448,4
436176905,105.8417396,20.9683925,3
436176907,105.841853,20.9655767,4
436380838,105.7790991,21.0215921,3
436388447,105.811628,21.0258244,3
438025538,105.8052145,21.0342407,4
438025540,105.8018753,21.0369046,4
438025541,105.8050648,21.0345518,4
438025543,105.8053079,21.0343825,4
438031792,105.797572,21.039573,2
438036727,105.8058957,21.0288676,3
438039400,105.8172566,21.030683,3
438039401,105.8216332,21.0313084,4
438153956,105.8095363,21.03226,3
438156126,105.815964,21.0306627,5
438163014,105.8220755,21.0274604,4
438172280,105.8341838,21.0320229,4
440059875,105.8414099,21.0174645,3
442572167,105.846961,21.0049184,3
442572693,105.8381811,21.0097637,3
442575424,105.8440142,21.0074152,3
442575425,105.8438086,21.0076082,3
442594923,105.8136224,20.9923383,3
442594930,105.8171649,21.0051596,3
442594939,105.8177782,20.9986893,3
442907398,105.8483136,21.0084886,3
442907400,105.849039,21.0086127,3
442907404,105.8514185,21.0087833,4
442907405,105.8521094,21.0087575,4
442907537,105.8533482,21.0087463,3
442980067,105.8045316,21.0387906,3
442980068,105.8046646,21.03903,3
442982542,105.8338068,21.0193064,4
442982545,105.8333946,21.0180467,3
442983002,105.8123611,21.0288809,3
442983008,105.8106065,21.0265398,3
442983016,105.8100734,21.0279258,3
442983017,105.8100941,21.0281542,3
442983025,105.8113763,21.0288411,3
442990311,105.7957615,21.0166791,3
442990314,105.7964298,21.0155399,3
442990465,105.8021998,21.0134657,3
442990707,105.8031972,21.0177194,3
442990711,105.8039304,21.0182235,3
442991057,105.7933249,21.0235746,3
442991097,105.796104,21.0234386,3
442991111,105.7963896,21.0235191,3
442993523,105.7980311,21.0268446,4
442993524,105.7970173,21.0272876,3
442993525,105.7965465,21.0263164,4
442993527,105.7960442,21.0254916,3
442993528,105.7952889,21.0248838,3
442993529,105.7950289,21.0247742,3
442993530,105.7947089,21.0246957,3
442993534,105.7936409,21.0243139,4
442993548,105.7940129,21.0253291,3
442993813,105.8117869,21.0263446,3
442993815,105.7950871,21.0260687,3
442993817,105.7958515,21.025639,4
442995154,105.7982389,21.0331615,3
443069088,105.7756853,21.0283157,2
443069090,105.7748678,21.0276074,2
443069095,105.774722,21.0220089,3
443069097,105.7750229,21.0214808,3
443069099,105.775628,21.02094,3
443073888,105.8507616,21.0079186,4
443073890,105.8505541,21.0077809,3
443073900,105.8501247,21.0075054,3
443073902,105.849862,21.0073626,3
443073925,105.8484532,21.0062537,1
443077184,105.8534843,21.0013174,3
443077186,105.8536453,21.0016252,3
443077187,105.8536735,21.0017773,3
443077200,105.8538097,21.0028876,3
443077219,105.8507893,21.0022022,3
443077241,105.8515802,21.0020815,3
443079355,105.8532204,20.9868242,3
443079395,105.8542755,20.9851218,3
443079412,105.8532478,20.9875193,3
443147561,105.8055062,21.0150817,3
443147564,105.8061252,21.0161234,3
443147797,105.7998038,21.010939,3
443147798,105.7995512,21.0129936,3
443148436,105.7973829,21.0271324,4
443148477,105.7982825,21.0227415,4
443148478,105.7986757,21.0218229,3
443148479,105.7985727,21.0219992,4
443148480,105.7984653,21.0221911,3
443148558,105.7924467,21.0227017,3
443393328,105.8039222,21.0059679,3
443393330,105.8023999,21.0066372,3
443393333,105.7994187,21.0045162,3
443393334,105.7996256,21.0042545,3
443393335,105.7998442,21.0039834,4
443393337,105.8008379,21.00379,4
443393342,105.801389,21.003105,3
443393343,105.8019505,21.0045765,4
443393344,105.8025186,21.0038928,3
443393345,105.8014828,21.0051526,4
443393346,105.8012858,21.0054173,3
443393347,105.8002974,21.0047318,4
443393348,105.8010661,21.0057129,4
443393349,105.8018979,21.0054339,3
443393350,105.8023482,21.0048556,3
443393351,105.8032906,21.0055227,4
443393354,105.8021076,21.0051665,3
443393355,105.8030419,21.0058411,3
443393356,105.8014832,21.0059956,3
443393357,105.8028721,21.0069953,4
443393359,105.8014435,21.0084068,4
443393363,105.8110762,21.0034931,3
443393376,105.8041457,21.0075881,3
443393377,105.8050016,21.0080872,3
443393379,105.8057547,21.0081413,3
443393380,105.8051898,21.0078248,3
443393388,105.8038097,21.0048089,3
443393395,105.8019615,21.0088848,4
443393396,105.8009168,21.0098895,3
443393398,105.8007316,21.0100372,4
443393402,105.8006123,21.0104497,3
443393403,105.800899,21.0101893,4
443393404,105.8012211,21.0104835,4
443393405,105.8013914,21.0106366,3
443393406,105.8046726,21.0096398,3
443393407,105.8038181,21.0096353,3
443393436,105.8090054,21.0113466,3
443393440,105.809365,21.0094422,3
443393442,105.8098288,21.0093796,3
443393447,105.8067941,21.0129701,3
443393448,105.8027811,21.0089966,4
443393453,105.8038287,21.0091651,3
443393464,105.8168377,21.020669,3
443393474,105.8016485,21.0091765,3
443393475,105.8021503,21.0096249,3
443393476,105.8014784,21.0097239,4
443393477,105.8022601,21.0104355,4
443393478,105.8027341,21.0103893,3
443393479,105.8020082,21.0096911,3
443393481,105.8017131,21.0109311,3
443393485,105.8034918,21.011133,4
443393486,105.8037649,21.0113675,4
443393491,105.8029455,21.0116112,3
443393492,105.8032536,21.0118782,4
443393494,105.8041558,21.0111352,3
443393496,105.8041652,21.0108149,3
443393498,105.8038209,21.0102427,3
443393500,105.8037755,21.0108339,3
443393765,105.8012795,21.0095535,3
443393766,105.8018337,21.009352,3
443393769,105.8017722,21.0103972,3
443393770,105.8020245,21.0106391,3
443393772,105.8022737,21.009946,3
443393773,105.8026857,21.0095458,3
443399511,105.8106393,20.9964798,3
443399622,105.8294973,20.9970617,3
443399623,105.8328399,20.9917502,3
443399625,105.834764,20.9886973,3
443399762,105.8288255,20.9951489,3
443399765,105.827874,20.9962516,4
443400260,105.835936,20.9832768,3
443400264,105.8370823,20.9836767,3
443400688,105.8345999,20.9828764,4
443401050,105.8329688,20.9822581,4
443401056,105.8343764,20.9839101,4
443401062,105.833503,20.9837061,4
443401066,105.8318683,20.9837163,3
443401072,105.8308748,20.9838795,3
443401086,105.8301138,20.984116,3
443401090,105.8303177,20.9846426,4
443401094,105.8305356,20.9851628,4
443401098,105.8306319,20.9853766,3
443401102,105.8315284,20.9860267,4
443401115,105.8313587,20.9849407,4
443401118,105.8309567,20.9850399,3
443401133,105.8319234,20.9855099,4
443401140,105.8307753,20.9845007,3
443401147,105.8323091,20.9850229,3
443401148,105.8305246,20.9872863,4
443401150,105.8324981,20.9867377,4
443401151,105.8313616,20.9879259,4
443401152,105.8307842,20.9875042,4
443401155,105.8335334,20.984239,3
443401156,105.8335128,20.9850333,4
443401157,105.8335119,20.9858215,3
443401158,105.834568,20.9856922,3
443401159,105.8311852,20.9843903,4
443401160,105.8319981,20.9843026,3
443401162,105.8326917,20.9842555,3
443401705,105.8276275,20.987376,4
443401706,105.8286874,20.9860119,4
443401707,105.8291914,20.9853879,3
443401708,105.8295132,20.9850777,3
443401710,105.8299522,20.9848163,3
443401713,105.8290772,20.987353,4
443401714,105.8285522,20.9879698,3
443401716,105.8294156,20.9886027,3
443401717,105.8295862,20.9884141,3
443401718,105.8299433,20.9879753,4
443401719,105.8296473,20.9866377,4
443401722,105.8281637,20.9866904,3
443401723,105.8287634,20.9871249,3
443401724,105.8293126,20.9864302,4
443401725,105.8298265,20.9858145,4
443401728,105.8302224,20.985293,3
443401731,105.8344184,20.9850993,3
443401735,105.8326899,20.9850287,3
443401737,105.8325378,20.9854296,4
443401738,105.8325337,20.9850272,3
443401739,105.8322249,20.9857308,4
443528360,105.8001022,21.0109597,3
443528361,105.7998954,21.0107741,3
443530262,105.8107276,21.0136487,3
443530289,105.8044777,21.0078708,3
443530290,105.8050005,21.0073808,3
443770462,105.8419674,21.0074901,3
443770467,105.8426492,21.0074931,3
443789363,105.8409738,21.0005633,3
444194864,105.8302368,20.9892601,3
444194888,105.8302329,20.9881663,4
444194949,105.8308309,20.9885673,4
444194951,105.8307337,20.9938279,3
444194957,105.8288509,20.9925886,3
444194966,105.8282847,20.9909748,3
444194967,105.8280894,20.9905413,3
444195052,105.8310907,20.9915989,3
444195054,105.8323629,20.9886793,4
444195055,105.8317762,20.9893178,4
444195056,105.8312751,20.9898886,4
444195057,105.8305781,20.9901624,3
444195271,105.8315062,20.9910072,4
444195274,105.8307163,20.9905558,4
444195352,105.8319182,20.990318,3
444195383,105.8314973,20.9900168,3
444195384,105.8319745,20.989449,3
444195385,105.8325791,20.9898212,3
444195454,105.8324621,20.9902396,3
444195626,105.8380228,20.9841162,3
444195639,105.8374647,20.9860339,3
444195868,105.8367397,20.9941109,3
444195869,105.8369325,20.9929114,3
444195873,105.8376284,20.9881291,3
444195877,105.8364645,20.9872876,3
444195883,105.8346819,20.9847485,3
444195885,105.8347216,20.9839651,3
444195916,105.8356915,20.9872247,4
444196026,105.8363788,20.9945247,3
444225362,105.8428554,20.9957364,3
444232548,105.8342326,21.0066906,3
444232554,105.8340624,21.0068728,3
444232555,105.8335969,21.0065027,1
444232559,105.8344419,21.007695,3
444250174,105.7915385,21.0359338,4
444250175,105.7919306,21.0371714,3
444250176,105.7927106,21.036931,4
444250177,105.7933595,21.0367495,4
444250180,105.7918802,21.0383279,2
444250181,105.7919761,21.0375626,3
444250214,105.7918017,21.0365907,3
444250215,105.7924712,21.0363309,4
444253889,105.7960959,21.0160936,3
444253890,105.7946879,21.0157342,3
444253900,105.7959302,21.0163743,3
444253906,105.7948523,21.0154523,3
444393381,105.8069888,21.0037853,3
444394715,105.7956176,20.9887437,3
444394716,105.7964525,20.9893277,4
444394717,105.7956885,20.9902807,3
444394718,105.7948841,20.9896516,3
444394724,105.7946378,20.9899657,1
444394726,105.7947801,20.9897843,3
444394731,105.7945004,20.9890817,3
444394732,105.795362,20.9890547,3
444394768,105.8145063,20.9990611,3
444394783,105.8073343,20.9945295,3
444394806,105.8018411,20.9903014,3
444394813,105.8012956,20.9899076,3
444394817,105.7998338,20.9889627,3
444394823,105.7988543,20.9882765,3
444394831,105.7972954,20.9871746,3
444394834,105.7967419,20.9867858,3
444394844,105.7955521,20.9859423,3
444394847,105.7953072,20.9857739,3
444394860,105.7942335,20.9850103,3
444394864,105.7940044,20.984515,1
444394874,105.7924395,20.9837099,3
444394888,105.7896658,20.9815062,3
444394900,105.788042,20.9802096,3
444394903,105.7849912,20.9839016,3
444394904,105.7840277,20.9839339,3
444394907,105.7832492,20.9821855,4
444394912,105.8026302,20.9919737,5
444394918,105.7869596,20.9796335,3
444394925,105.7853692,20.9818903,3
444394927,105.7845106,20.9807665,4
444394928,105.785367,20.9814162,3
444394931,105.7838906,20.9803147,3
444394932,105.7895104,20.9816631,3
444394935,105.7896831,20.9818043,3
444394937,105.7899157,20.9819953,4
444394939,105.790837,20.9827158,3
444394951,105.7883062,20.9807145,3
444394953,105.7890841,20.9813264,3
444394959,105.7909297,20.9832643,1
444394961,105.7911675,20.9829843,3
444394966,105.7920534,20.9836615,3
444394968,105.7935614,20.9848078,3
444394973,105.7968828,20.9871294,3
444394982,105.7986852,20.9883915,3
444394996,105.8049098,20.9924648,3
444398125,105.8062408,21.0042358,4
444398133,105.8060017,21.0027345,3
444398139,105.8053594,21.0035834,3
444398143,105.8067132,21.001913,3
444398144,105.8064394,21.0018856,3
444398148,105.8058806,21.0026384,3
444491338,105.8030796,21.0006985,3
444491339,105.8020453,20.9999631,4
444496327,105.8078813,20.9999022,3
444497299,105.8056497,20.9984274,3
444497738,105.803644,21.0010914,4
444498458,105.8069311,21.0042146,3
444501627,105.8003249,21.0021269,4
444501629,105.8047007,21.0052178,4
444501634,105.8086824,21.0080303,3
444501637,105.8094373,21.0086567,3
444504946,105.8474183,21.0071109,3
444504947,105.845651,21.0061208,3
444547496,105.8104344,21.0351156,3
444548869,105.8113645,21.0335537,3
444549264,105.8097499,21.0330229,3
444655895,105.801894,21.0032603,3
444874857,105.8109915,21.0109719,4
444874859,105.81468,21.0163706,3
444875109,105.8110704,21.01074,4
444875130,105.8150487,21.0165795,4
444875374,105.8109049,21.0108542,4
444875375,105.8106768,21.0102154,4
444875703,105.8106239,21.0023098,3
444875724,105.8092955,20.9925617,1
444876794,105.7999883,20.9881147,3
444877827,105.8023188,20.989736,3
444877830,105.799763,20.9917441,3
444877831,105.7992055,20.9913484,3
444877832,105.79982,20.9905479,3
444877959,105.7986045,20.9909686,4
444878348,105.7885008,20.9819237,3
444878349,105.7877654,20.9825596,3
444878651,105.7881019,20.9809721,3
444878654,105.7878257,20.9813671,3
444878659,105.7873708,20.9819281,3
444878661,105.7871941,20.9821285,4
